airQuality,illness,light,id,fire,sound,soilMoisture,pressure,waterLevel,temperature,humidity,createdAt
1016.0,Normal,541.0,527,81.0,449.0,1.0,100.4746,7.0,25.0,17.0,2019-03-23 20:24:00.242
1017.0,Normal,540.0,526,81.0,447.0,1.0,100.181,6.0,25.0,17.0,2019-03-23 20:23:49.174
1017.0,Normal,538.0,525,82.0,444.0,1.0,101.2442,7.0,25.0,17.0,2019-03-23 20:23:38.212
1017.0,Normal,542.0,524,82.0,449.0,1.0,100.1576,6.0,25.0,17.0,2019-03-23 20:23:27.044
1017.0,Normal,542.0,523,81.0,449.0,1.0,100.3648,6.0,25.0,17.0,2019-03-23 20:23:15.979
1017.0,Normal,540.0,522,80.0,448.0,1.0,100.3058,7.0,25.0,18.0,2019-03-23 20:23:04.921
1016.0,Normal,542.0,521,82.0,448.0,1.0,100.604,6.0,25.0,17.0,2019-03-23 20:22:53.852
1016.0,Normal,543.0,520,82.0,449.0,1.0,101.4178,7.0,25.0,17.0,2019-03-23 20:22:42.806
1016.0,Normal,535.0,519,80.0,444.0,1.0,101.6701,6.0,25.0,17.0,2019-03-23 20:22:31.733
1017.0,Normal,538.0,518,82.0,446.0,1.0,101.9608,7.0,25.0,17.0,2019-03-23 20:22:20.651
1016.0,Normal,543.0,517,81.0,449.0,1.0,100.5966,7.0,25.0,17.0,2019-03-23 20:22:09.585
1017.0,Normal,545.0,516,82.0,451.0,1.0,101.3324,6.0,25.0,18.0,2019-03-23 20:21:58.502
1016.0,Normal,535.0,515,81.0,444.0,1.0,100.5104,7.0,25.0,18.0,2019-03-23 20:21:47.454
1017.0,Normal,539.0,514,81.0,448.0,1.0,101.1972,6.0,25.0,17.0,2019-03-23 20:21:36.383
1016.0,Normal,545.0,513,81.0,451.0,1.0,101.5901,6.0,25.0,17.0,2019-03-23 20:21:25.323
1016.0,Normal,538.0,512,81.0,446.0,1.0,100.2205,7.0,25.0,18.0,2019-03-23 20:21:14.245
1016.0,Normal,545.0,511,82.0,451.0,1.0,101.959,8.0,25.0,18.0,2019-03-23 20:21:03.184
1016.0,Normal,551.0,510,81.0,455.0,1.0,101.8641,7.0,25.0,18.0,2019-03-23 20:20:52.132
1016.0,Normal,598.0,509,81.0,488.0,1.0,100.6253,7.0,25.0,18.0,2019-03-23 20:20:41.136
1016.0,Normal,1016.0,508,82.0,790.0,1.0,101.8944,7.0,25.0,17.0,2019-03-23 20:20:29.988
1016.0,Normal,495.0,507,82.0,415.0,1.0,101.0998,6.0,25.0,17.0,2019-03-23 20:20:18.919
1016.0,Normal,536.0,506,81.0,444.0,1.0,100.2603,7.0,25.0,18.0,2019-03-23 20:20:07.846
1017.0,Normal,542.0,505,81.0,449.0,1.0,101.4247,6.0,25.0,18.0,2019-03-23 20:19:56.78
1016.0,Normal,536.0,504,82.0,445.0,1.0,101.4373,7.0,25.0,18.0,2019-03-23 20:19:45.726
1016.0,Normal,533.0,503,80.0,443.0,1.0,100.4055,7.0,25.0,18.0,2019-03-23 20:19:34.649
1015.0,Normal,544.0,502,82.0,450.0,1.0,101.3244,8.0,25.0,18.0,2019-03-23 20:19:23.585
1015.0,Normal,535.0,501,82.0,444.0,1.0,100.2331,7.0,25.0,17.0,2019-03-23 20:19:12.516
1016.0,Normal,539.0,500,81.0,447.0,1.0,101.6525,7.0,25.0,17.0,2019-03-23 20:19:01.454
